Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
1,328,119,5,5.0,5.0,9.63,0,0.84
2,318,96,3,1.0,1.0,7.23,0,0.34
3,304,106,1,4.0,2.0,8.46,0,0.34
4,332,108,2,4.5,1.0,8.08,0,0.52
5,297,105,1,1.5,3.5,7.88,1,0.38
6,310,111,1,3.5,4.5,9.61,0,0.57
7,328,96,3,4.5,2.0,6.87,0,0.38
8,308,103,5,1.0,4.5,8.87,0,0.48
9,312,107,1,4.0,1.0,9.81,1,0.53
10,300,117,2,2.0,4.5,8.55,1,0.57
11,300,117,4,4.5,2.5,9.72,1,0.6
12,313,107,1,5.0,1.5,6.96,1,0.44
13,325,112,1,5.0,3.0,8.11,0,0.51
14,329,98,3,3.0,2.0,7.61,1,0.46
15,313,95,5,4.5,2.0,9.08,0,0.48
16,292,92,4,4.5,2.0,9.86,0,0.41
17,311,96,2,2.5,4.0,7.6,1,0.34
18,291,114,4,4.5,3.0,8.84,1,0.57
19,313,117,2,1.0,2.0,7.42,1,0.49
20,333,101,5,3.5,3.5,8.56,1,0.63
21,319,113,2,2.0,4.0,8.25,1,0.57
22,327,96,3,1.5,2.0,9.83,0,0.48
23,291,95,3,1.5,2.5,8.7,1,0.34
24,310,93,3,4.0,1.5,7.89,1,0.37
25,322,111,3,2.5,1.5,7.16,1,0.45
26,301,101,4,4.0,3.5,7.27,0,0.38
27,311,117,5,1.5,1.5,7.5,1,0.56
28,333,110,2,2.5,3.0,7.58,0,0.5
29,314,117,2,3.0,4.0,9.45,1,0.69
30,338,92,3,4.0,1.5,8.55,1,0.5
31,316,115,3,2.5,3.5,8.43,0,0.52
32,331,96,1,3.5,2.0,7.16,1,0.41
33,317,104,5,4.5,5.0,9.48,0,0.72
34,305,95,4,3.5,3.0,9.06,0,0.44
35,304,107,2,2.0,4.0,7.01,0,0.34
36,336,115,1,1.0,3.0,9.01,1,0.64
37,340,107,1,4.5,1.0,8.5,1,0.57
38,333,114,2,1.0,3.5,7.05,1,0.54
39,292,93,4,4.5,5.0,8.23,0,0.4
40,326,108,1,3.0,3.5,8.31,1,0.54
41,340,119,1,5.0,4.5,7.32,0,0.65
42,296,118,5,4.0,4.5,9.75,1,0.73
43,310,111,4,5.0,2.0,9.45,0,0.59
44,298,115,1,2.5,2.0,8.89,0,0.4
45,328,103,4,4.0,3.5,8.24,0,0.64
46,307,109,2,2.5,2.5,8.08,1,0.43
47,293,94,3,3.0,4.5,8.83,0,0.34
48,314,119,1,3.5,4.5,8.5,0,0.55
49,303,92,5,4.5,2.5,6.99,0,0.34
50,339,92,2,5.0,2.0,8.4,0,0.49
51,298,120,4,4.0,4.0,9.32,0,0.61
52,315,110,2,2.5,2.0,8.23,0,0.47
53,291,102,1,2.5,4.5,6.96,1,0.34
54,309,96,4,4.0,2.5,9.25,1,0.5
55,317,103,3,2.0,3.5,7.43,0,0.34
56,336,94,2,1.5,1.5,7.61,1,0.43
57,296,92,1,2.5,3.5,7.31,1,0.34
58,333,92,5,2.0,3.0,7.83,0,0.48
59,297,99,4,2.0,3.5,9.16,0,0.34
60,336,101,2,2.0,1.5,8.42,0,0.49
61,324,102,2,1.0,4.0,7.44,1,0.4
62,303,103,3,1.0,4.5,9.54,0,0.48
63,306,120,3,5.0,2.0,9.54,1,0.68
64,325,104,5,2.5,1.5,9.52,0,0.56
65,339,103,5,2.5,1.0,7.55,1,0.55
66,329,105,1,3.5,3.5,8.21,0,0.52
67,293,93,1,2.0,3.5,9.87,0,0.34
68,291,120,5,5.0,3.0,9.21,1,0.68
69,295,110,5,4.0,2.0,6.88,1,0.47
70,331,109,4,1.5,2.5,7.0,1,0.47
71,293,94,3,2.5,3.5,8.25,1,0.37
72,318,114,1,4.5,3.0,9.64,1,0.67
73,307,108,3,5.0,5.0,8.48,1,0.58
74,315,117,3,3.0,1.5,8.35,0,0.48
75,333,99,5,3.5,4.0,7.13,1,0.57
76,323,120,4,1.5,2.5,8.85,0,0.65
77,299,117,2,5.0,2.5,9.36,0,0.55
78,325,101,4,2.0,4.0,7.99,1,0.59
79,303,117,4,5.0,4.0,9.22,0,0.61
80,320,93,3,3.5,5.0,9.81,1,0.61
81,337,110,4,3.5,1.5,7.44,1,0.57
82,304,100,1,3.0,1.5,8.43,0,0.34
83,297,98,3,2.0,4.0,7.7,0,0.34
84,303,95,1,1.5,3.5,9.27,1,0.36
85,312,117,2,2.0,2.0,8.6,1,0.45
86,329,112,3,1.5,1.5,8.78,0,0.55
87,310,109,2,4.0,1.5,9.29,0,0.51
88,305,104,3,2.5,4.5,8.04,0,0.43
89,334,102,5,1.0,2.0,9.66,0,0.64
90,307,120,4,5.0,2.5,8.46,1,0.62
91,336,115,5,4.5,2.0,7.29,1,0.71
92,313,95,2,4.5,2.5,8.97,1,0.51
93,315,116,4,5.0,1.5,9.27,1,0.64
94,314,112,3,1.5,3.0,7.79,0,0.45
95,334,120,4,2.5,1.5,9.47,0,0.7
96,330,116,1,4.0,4.0,9.63,1,0.75
97,318,95,4,4.0,2.0,7.66,1,0.45
98,304,101,1,1.5,3.0,9.87,1,0.43
99,334,96,4,4.5,4.5,7.24,1,0.56
